title,id,activity,creation,status
Class name hardcoded in TracebackException.from_exception(),24710,2015-07-24.22:57:05,2015-07-24.22:57:05,1
array.fromstring Use After Free,24613,2015-07-24.20:07:29,2015-07-12.00:32:50,1
"Unix build uses '-Wno-unused-result', which icc doesn't recognize",24709,2015-07-24.19:43:54,2015-07-24.19:43:54,1
Assertion failed in pymonotonic_new,24707,2015-07-24.17:43:56,2015-07-24.15:53:37,1
collections.OrderedDict collaborative subclassing,24685,2015-07-24.17:40:09,2015-07-22.17:04:00,1
strop.replace Integer Overflow,24708,2015-07-24.16:26:38,2015-07-24.16:26:20,1
poplib maxline behaviour may be wrong,23906,2015-07-24.16:06:23,2015-04-10.15:26:33,1
TemporaryDirectory is cleaned up twice,24699,2015-07-24.15:42:42,2015-07-23.22:51:03,1
operator.subscript,24379,2015-07-24.15:36:50,2015-06-04.06:07:04,1
Error in Python 3 docs for PyMethodDef,15657,2015-07-24.15:32:16,2012-08-14.19:02:45,1
poplib: Line too long error causes knock-on failure to retrieve all subsequent messages,24706,2015-07-24.15:24:32,2015-07-24.15:24:32,1
sysconfig._parse_makefile doesn't expand ${} vars appearing before $() vars,24705,2015-07-24.13:43:54,2015-07-24.12:13:00,1
Provide a rejected execution model and implementations for futures.,22737,2015-07-24.12:43:45,2014-10-27.02:38:59,1
consider implementing __await__ on concurrent.futures.Future,24383,2015-07-24.11:54:48,2015-06-04.15:38:14,1
Steps for Android Native Build of Python 3.4.2,23496,2015-07-24.10:41:57,2015-02-21.20:46:56,1
Add timespec optional flag to datetime isoformat() to choose the precision,19475,2015-07-24.09:53:38,2013-11-01.17:05:21,1
Dead Code of Handler check in function faulthandler_fatal_error(),24302,2015-07-24.08:36:17,2015-05-27.16:30:45,1
Add CoroutineReturn and CoroutineExit builtin exceptions for coroutines,24697,2015-07-24.08:35:13,2015-07-23.15:10:15,1
Put most likely test first in set_add_entry(),24681,2015-07-24.05:41:39,2015-07-22.04:01:49,1
"dict() built-in fails on iterators with a ""keys"" attribute",24659,2015-07-24.05:35:16,2015-07-18.08:54:59,1
obsolete macpath module dangerously broken and should be removed,9850,2015-07-24.03:47:04,2010-09-14.05:14:10,1
array compare is hideously slow,24700,2015-07-24.02:36:11,2015-07-23.23:01:14,1
cross type comparisons clarification,22000,2015-07-24.01:38:53,2014-07-17.18:38:32,1
get_externals.bat script fails,24698,2015-07-23.17:41:34,2015-07-23.17:19:38,1
IDLE debugger causes crash if not quitted properly before next run,24455,2015-07-23.16:33:09,2015-06-15.15:57:30,1
mock_open data is visible only once for the life of the class,21750,2015-07-23.15:49:29,2014-06-13.18:14:49,1
Mock.assert* API is in user namespace,24651,2015-07-23.15:34:40,2015-07-17.07:56:00,1
"Add Base32 support for RFC4648 ""Extended Hex"" alphabet (patch attached)",16995,2015-07-23.15:26:24,2013-01-18.18:21:19,1
file accepts 'rU+' as a mode,2091,2015-07-23.15:21:05,2008-02-12.22:55:09,1
Don't use None as sentinel for traceback,24696,2015-07-23.14:52:20,2015-07-23.14:52:20,1
"deprecated in 3.2/3.3, should be removed in 3.5 or ???",13248,2015-07-23.14:49:38,2011-10-23.17:49:46,1
