title,id,stage,creation,activity,type,components,status,creator
rlcompleter: tab on empty prefix => insert spaces,23441,4,2015-02-11.10:21:44,2015-07-27.17:46:50,5,['9'],1,43
msvc9compiler.py: add .asm extension,7546,4,2009-12-19.16:44:04,2015-07-27.14:59:35,6,['3'],1,11089
Clean up/refactor/make discoverable test_decimal,20008,4,2013-12-17.21:24:31,2015-07-27.14:10:35,6,['12'],1,15467
Tighten definition of bytes-like objects,23756,4,2015-03-24.08:25:17,2015-07-27.12:36:46,6,['4'],1,14751
Invalid access in combinations_with_replacement(),24735,4,2015-07-27.11:19:58,2015-07-27.12:06:44,5,['5'],1,11089
Modifications to support iOS as a cross-compilation target,23670,4,2015-03-15.06:25:47,2015-07-27.10:22:45,6,"['1', '28']",1,12020
PEP447: Add type.__getdescriptor__,18181,4,2013-06-10.13:15:53,2015-07-26.09:53:25,5,['8'],1,925
locale.getdefaultlocale() fails on Mac OS X with default language set to English,18378,4,2013-07-06.12:19:03,2015-07-26.09:00:45,5,['9'],1,12021
PEP 484 docs,24272,4,2015-05-23.21:09:28,2015-07-26.08:42:30,6,['4'],1,5
Put most likely test first in set_add_entry(),24681,4,2015-07-22.04:01:49,2015-07-25.22:30:04,None,['8'],1,114
Class name hardcoded in TracebackException.from_exception(),24710,4,2015-07-24.22:57:05,2015-07-25.19:54:05,6,['9'],1,14674
spwd returning different value depending on privileges,10388,4,2010-11-11.14:03:10,2015-07-25.19:11:49,5,['9'],1,3080
datetime.strftime('%s') should respect tzinfo,12750,4,2011-08-15.02:31:12,2015-07-25.19:01:59,6,"['5', '9']",1,14723
Move fields relevant to sys.exc_info out of frame into	generator/threadstate,13897,4,2012-01-28.16:24:46,2015-07-25.11:18:04,6,['8'],1,13034
Figure out extended attributes on BSDs,12978,4,2011-09-14.15:35:25,2015-07-25.01:56:13,None,[],1,4455
operator.subscript,24379,4,2015-06-04.06:07:04,2015-07-24.15:36:50,6,['5'],1,20653
Error in Python 3 docs for PyMethodDef,15657,4,2012-08-14.19:02:45,2015-07-24.15:32:16,5,['8'],1,11727
"Add Base32 support for RFC4648 ""Extended Hex"" alphabet (patch attached)",16995,4,2013-01-18.18:21:19,2015-07-23.15:26:24,6,['9'],1,17165
"deprecated in 3.2/3.3, should be removed in 3.5 or ???",13248,4,2011-10-23.17:49:46,2015-07-23.14:49:38,5,['9'],1,11184
zipfile: change RuntimeError to more appropriate exception type,24693,4,2015-07-23.12:23:44,2015-07-23.12:23:44,6,['9'],1,15623
__all__ lists are incomplete,23883,4,2015-04-07.16:23:10,2015-07-23.05:14:21,6,['9'],1,15623
Add Quick Start: Communications section to devguide,24682,4,2015-07-22.04:45:33,2015-07-23.04:42:52,6,['26'],1,18982
Many incremental codecs don’t handle fragmented data,20132,4,2014-01-05.13:48:58,2015-07-23.01:54:38,5,['9'],1,14751
open().write() fails on 2 GB+ data (OS X),24658,4,2015-07-18.02:59:28,2015-07-22.14:45:16,5,"['5', '23']",1,2858
distutils.sysconfig.get_python_lib gives surprising result when used with a Python build,6087,4,2009-05-22.12:39:08,2015-07-22.14:41:46,5,['3'],1,328
Doc: remove errors about mixed-type comparisons.,12067,4,2011-05-12.21:59:33,2015-07-22.04:23:33,6,['4'],1,155
Define EXIT_SUCCESS and EXIT_FAILURE constants in sys,24053,4,2015-04-24.15:47:49,2015-07-22.02:49:06,6,[],1,1427
Move the buildslave setup information from the wiki to the devguide,24440,4,2015-06-12.16:03:59,2015-07-21.13:19:05,6,['26'],1,9663
"Add the ""htmlcharrefreplace"" error handler",19667,4,2013-11-20.18:19:35,2015-07-21.10:43:55,6,['9'],1,15623
Turn SIG_DFL and SIG_IGN into functions,23325,4,2015-01-26.20:38:30,2015-07-21.08:13:33,6,['9'],1,15623
Implement PEP 422: Simple class initialisation hook,17044,4,2013-01-26.21:29:18,2015-07-21.08:01:18,6,"['8', '9']",1,11409
Drop restriction that meta.__prepare__() must return a dict (subclass),17421,4,2013-03-14.20:20:27,2015-07-21.08:00:58,6,[],1,14000
Recursive OrderedDict pickling,17900,4,2013-05-03.19:40:16,2015-07-21.07:45:15,5,['9'],1,15623
language reference should specify restrictions on class namespace,17422,4,2013-03-14.20:33:35,2015-07-21.07:36:01,6,['4'],1,14000
Catching virtual subclasses in except clauses,12029,4,2011-05-08.08:53:43,2015-07-21.07:35:35,6,['8'],1,7274
PyNumber_Index() is not int-subclass friendly (or operator.index() docos lie),17576,4,2013-03-29.22:25:11,2015-07-21.07:29:34,5,['8'],1,19
Turn signal.SIG* constants into enums,21076,4,2014-03-27.15:48:50,2015-07-21.07:22:03,5,['9'],1,3080
Free list for single-digits ints,24165,4,2015-05-11.13:59:29,2015-07-21.07:15:25,7,['8'],1,15623
'%o' % user-defined instance,11145,4,2011-02-07.18:46:33,2015-07-21.07:14:43,1,['8'],1,43
"functools.singledispatch fails when ""not BaseClass"" is True",23572,4,2015-03-03.12:17:09,2015-07-21.07:11:45,None,['9'],1,20911
"Better expose closure, generator & coroutine status of functions",24056,4,2015-04-25.06:13:53,2015-07-21.07:10:44,6,['8'],1,1309
multiprocessing.Queue raises AssertionError,22872,4,2014-11-14.17:34:48,2015-07-21.07:10:09,5,['9'],1,20433
Document the circumstances where the locals() dict get updated,17546,4,2013-03-25.17:20:11,2015-07-21.07:08:12,6,['4'],1,2984
pathlib.(r)glob stops on PermissionDenied exception,24120,4,2015-05-03.17:52:28,2015-07-21.07:07:21,5,['9'],1,21595
os.pipe() should return a structsequence (or namedtuple.),24536,4,2015-06-30.07:19:17,2015-07-21.07:03:12,6,['23'],1,18842
"json checks True/False by identity, not boolean value",4945,4,2009-01-14.05:31:37,2015-07-21.06:03:50,5,['4'],1,1595
Idle: test PathBrowser more,20792,4,2014-02-27.09:29:43,2015-07-20.21:49:46,None,"['6', '12']",1,18939
Avoid repeated hash calculation in C implementation of functools.lru_cache(),24483,4,2015-06-21.12:34:02,2015-07-20.09:58:23,7,['9'],1,15623
signal handler never gets called,5315,4,2009-02-19.13:47:06,2015-07-20.05:32:53,5,"['4', '8', '9']",1,10115
Use after free in PyObject_GetState,24097,4,2015-05-01.14:05:35,2015-07-19.21:12:23,1,['5'],1,20209
Modernize pydoc to use better HTML and separate CSS,10716,4,2010-12-16.09:25:37,2015-07-18.23:27:59,6,['9'],1,114
Wrong or missing exception when compiling regexes with recursive named backreferences,24580,4,2015-07-07.01:25:41,2015-07-18.20:38:14,5,['11'],1,11098
Encoding declaration: doc supported encodings,24563,4,2015-07-03.23:38:39,2015-07-18.04:23:21,6,['4'],1,155
Add __iter__ support for mock_open,21258,4,2014-04-16.17:56:45,2015-07-17.22:21:43,5,['9'],1,9716
use small object allocator for dict key storage,23601,4,2015-03-07.11:24:41,2015-07-16.20:59:18,7,['8'],1,14373
Missing SWAP_INT in I_set_sw,23319,4,2015-01-25.18:53:37,2015-07-16.09:47:25,5,['22'],1,20723
